full_name,age,city,district,speciality,desired_course,years_of_experience,graduation_year
Кузнецов Дмитрий Алексеевич,34,Москва,Южный административный округ,учитель,цифровая грамотность для педагогов,8,2015
Белова Ольга Ивановна,42,Екатеринбург,Чкаловский район,бухгалтер,налоговый учёт и отчётность,18,2006
Смирнова Елена Дмитриевна,34,Санкт-Петербург,Приморский район,врач,медицинская реабилитация,8,2014
Морозов Павел Андреевич,34,Санкт-Петербург,Выборгский район,врач,медицинская реабилитация,8,2014
Виноградов Кирилл Сергеевич,34,Самара,Октябрьский район,IT-специалист,программирование на Python,10,2014
Медведева Наталья Петровна,34,Воронеж,Ленинский район,медсестра,медицинская реабилитация,6,2016
Тимофеев Артём Викторович,34,Ростов-на-Дону,Пролетарский район,психолог,психология делового общения,8,2015
Козлов Сергей Александрович,35,Казань,Вахитовский район,юрист,налоговый учёт и отчётность,10,2013
Лебедев Андрей Владимирович,34,Казань,Приволжский район,юрист,налоговый учёт и отчётность,10,2015
Фролова Марина Игоревна,34,Воронеж,Ленинский район,медсестра,медицинская реабилитация,8,2014
Григорьев Антон Павлович,34,Новосибирск,Октябрьский район,инженер,управление проектами,8,2014
Иванова Анна Михайловна,34,Краснодар,Центральный округ,экономист,налоговый учёт и отчётность,10,2014
Казаков Максим Евгеньевич,28,Самара,Промышленный район,IT-специалист,программирование на Python,5,2020
Громов Виктор Сергеевич,35,Казань,Вахитовский район,юрист,налоговый учёт и отчётность,10,2013
Новикова Татьяна Александровна,34,Москва,Центральный административный округ,учитель,цифровая грамотность для педагогов,9,2015
Захаров Илья Николаевич,34,Новосибирск,Октябрьский район,инженер,управление проектами,10,2014
Королев Владимир Викторович,32,Нижний Новгород,Сормовский район,менеджер,управление проектами,6,2016
Сорокин Алексей Владимирович,34,Нижний Новгород,Сормовский район,менеджер,управление проектами,10,2014
Никифоров Станислав Витальевич,34,Казань,Вахитовский район,юрист,налоговый учёт и отчётность,10,2016
Абрамова Ирина Юрьевна,34,Екатеринбург,Орджоникидзевский район,бухгалтер,налоговый учёт и отчётность,8,2015
Соловьёв Александр Игоревич,34,Санкт-Петербург,Приморский район,врач,медицинская реабилитация,9,2015
Гусев Денис Борисович,30,Новосибирск,Октябрьский район,инженер,управление проектами,6,2018
Ковалёв Андрей Николаевич,34,Краснодар,Прикубанский округ,экономист,налоговый учёт и отчётность,8,2014
Трофимов Вадим Олегович,34,Новосибирск,Октябрьский район,инженер,управление проектами,10,2015
Макаров Иван Сергеевич,30,Самара,Октябрьский район,IT-специалист,программирование на Python,5,2018
Борисова Виктория Алексеевна,34,Санкт-Петербург,Приморский район,врач,медицинская реабилитация,10,2014
Михайлов Евгений Александрович,34,Нижний Новгород,Нижегородский район,менеджер,управление проектами,10,2014
Петрова Екатерина Дмитриевна,34,Санкт-Петербург,Приморский район,врач,медицинская реабилитация,10,2014
Николаева Мария Владимировна,34,Москва,Южный административный округ,учитель,цифровая грамотность для педагогов,10,2014
Захаров Денис Олегович,30,Самара,Промышленный район,IT-специалист,программирование на Python,3,2021
Алексеев Михаил Борисович,35,Казань,Приволжский район,юрист,психология делового общения,10,2013
Крылова Дарья Владимировна,34,Нижний Новгород,Нижегородский район,менеджер,управление проектами,10,2015
Алексеева Юлия Валерьевна,34,Воронеж,Ленинский район,медсестра,медицинская реабилитация,11,2014
Корнеева Дарья Игоревна,34,Нижний Новгород,Сормовский район,менеджер,управление проектами,8,2015
Белов Алексей Николаевич,35,Краснодар,Прикубанский округ,экономист,налоговый учёт и отчётность,10,2013
Фёдорова Анастасия Павловна,34,Москва,Южный административный округ,учитель,цифровая грамотность для педагогов,10,2014
Тихомирова Оксана Леонидовна,34,Воронеж,Ленинский район,медсестра,медицинская реабилитация,10,2014
Воронова Ксения Степановна,34,Ростов-на-Дону,Октябрьский район,психолог,психология делового общения,8,2016
Коваленко Екатерина Максимовна,31,Краснодар,Прикубанский округ,экономист,налоговый учёт и отчётность,7,2017
Романова Светлана Геннадьевна,35,Екатеринбург,Кировский район,бухгалтер,налоговый учёт и отчётность,12,2013
Попова Анна Сергеевна,34,Екатеринбург,Октябрьский район,бухгалтер,налоговый учёт и отчётность,9,2015
Зайцев Вадим Борисович,30,Самара,Октябрьский район,IT-специалист,программирование на Python,6,2018
Кириллова Ольга Сергеевна,34,Ростов-на-Дону,Ворошиловский район,психолог,психология делового общения,10,2016
Андреев Олег Сергеевич,34,Ростов-на-Дону,Октябрьский район,психолог,психология делового общения,8,2016
Мельникова Татьяна Игоревна,28,Воронеж,Ленинский район,медсестра,медицинская реабилитация,5,2020
Кузнецова Лариса Васильевна,35,Екатеринбург,Октябрьский район,бухгалтер,налоговый учёт и отчётность,11,2013
Савин Игорь Васильевич,33,Краснодар,Центральный округ,экономист,налоговый учёт и отчётность,9,2015
Гаврилова Людмила Анатольевна,41,Ростов-на-Дону,Ленинский район,психолог,психология делового общения,16,2008
Поляков Даниил Романович,28,Москва,Юго-Западный административный округ,учитель,цифровая грамотность для педагогов,4,2020
Федотов Сергей Викторович,35,Новосибирск,Дзержинский район,инженер,управление проектами,12,2013
